date,Rm-Rf,SMB,HML,RMW,CMA,Rf,Mom,ST_Rev,LT_Rev,Rp_ew_cc
12/9/2000,-0.5,0.4,0.11,0.56,0.67,0.025,0.23,0,-0.16,-0.010872385
13/09/2000,0.29,-0.3,-0.17,-0.78,-0.32,0.025,0.49,0.24,0.12,-0.009324912
14/09/2000,0.01,0.93,-0.67,-1.04,-0.6,0.025,1.01,-0.63,0.18,-0.004503639
15/09/2000,-1.23,0,1.21,-0.29,0.95,0.025,-0.06,-0.32,-0.05,-0.003308037
18/09/2000,-1.8,-0.49,0.82,1.34,0.52,0.025,-0.06,0.06,-0.55,0.002591638
19/09/2000,1.24,-0.18,-2.15,-0.84,-1.54,0.025,1.49,1.41,-0.19,0.006294159
20/09/2000,-0.39,0.29,-0.59,0.49,-0.41,0.025,1.13,-0.95,-0.09,0.004381515
21/09/2000,-0.54,-0.52,0.75,1.4,1.25,0.025,-0.45,-0.69,-0.28,0.0121343
22/09/2000,0.4,-0.66,0.14,-0.92,0.99,0.025,0.41,-1.91,-0.39,-0.00520189
25/09/2000,-0.56,-0.22,0.55,-0.06,0.27,0.025,0.36,-1.56,-0.02,-0.006491114
26/09/2000,-0.96,-0.37,1.41,0.29,0.51,0.025,0.06,-1.41,0.33,-0.015698418
27/09/2000,-0.21,-0.64,0.56,0.67,0.72,0.025,1.01,-1.07,0.18,-0.006116682
28/09/2000,2.32,0.01,-1.43,-0.5,-0.96,0.025,-0.63,1.19,-0.58,0.005853577
29/09/2000,-1.26,1.16,1.26,0.02,1.33,0.025,-0.87,-1.21,0.06,-0.00576039
2/10/2000,-0.7,-1.09,1.2,1.78,0.65,0.025,-0.06,-0.97,-0.03,-0.002032924
3/10/2000,-1.29,0.14,1.13,1.63,0.93,0.025,-0.89,-1.28,0.29,0.006930924
4/10/2000,0.64,-0.27,-0.97,-0.73,-1.36,0.025,0.1,1.99,0.05,-0.00439894
5/10/2000,-0.23,-0.29,-0.09,1.35,1.16,0.025,-0.24,-2.41,-0.39,-0.004209061
6/10/2000,-2.17,0.04,1.89,1.34,0.84,0.025,-0.64,-0.79,0.13,-0.002287419
9/10/2000,-0.39,-0.47,0.59,-0.62,-0.07,0.025,-0.06,0.26,0.23,0.005391005
10/10/2000,-1.44,0.06,1.14,0.56,1.34,0.025,-0.91,-2.12,-0.14,-0.001040218
11/10/2000,-1.77,0.18,1,1.37,0.92,0.025,1.3,-1.45,-0.35,0.003466791
12/10/2000,-2.83,0.73,1.64,1.53,0.83,0.025,-0.34,-1.27,0.17,-0.005063374
13/10/2000,3.88,-0.98,-2.63,-1.54,-2.59,0.025,3.2,5.7,-0.83,-0.007265316
